field_1,address,checkins,group_id,lat,lng,place_id,title,labels,id,stats,main_categorie
2510,"Пионерская пл 1, ТЮЗ",429,189897,30.334607,59.92005,2368749,Театр Юных Зрителей им. А.А. Брянцева // ТЮЗ,0,4e785306b0fb305db5c811bc,"{'tipCount': 79, 'usersCount': 7216, 'checkinsCount': 11857}",Arts & Entertainment
2524,Загородный проспект 27,98,,30.33697,59.924199,7015748,Джазовая филармония,0,4cacb5eb5a1e9521bdcc8ece,"{'tipCount': 74, 'usersCount': 3740, 'checkinsCount': 5707}",Arts & Entertainment
2525,Загородный просп. 27,131,,30.33697,59.924199,585,Филармония джазовой музыки,0,4cacb5eb5a1e9521bdcc8ece,"{'tipCount': 74, 'usersCount': 3740, 'checkinsCount': 5707}",Arts & Entertainment
2527,Загородный проспект 27,24,,30.33697,59.924199,16397873,Jazz Philharmonic Hall,0,4cacb5eb5a1e9521bdcc8ece,"{'tipCount': 74, 'usersCount': 3740, 'checkinsCount': 5707}",Arts & Entertainment
2556,Островского площадь 6,81,,30.336206,59.931788,9111838,Музей театрального и музыкального искусства,0,4e214c87d4c0d32590ed9fcb,"{'tipCount': 20, 'usersCount': 1238, 'checkinsCount': 2307}",Arts & Entertainment
2638,"Садовая 12, Кино без Попкорна",38,3818033,30.336116,59.935534,2381219,"Киноклуб  ""КИНО БЕЗ ПОПКОРНА"". Кинопоказы в Спб",0,58973d24326c5a6fe1462cc4,"{'tipCount': 2, 'usersCount': 38, 'checkinsCount': 38}",Arts & Entertainment
2887,"Марата д.86, м.Звенигородская, м.Пушкинская ТРК Нептун",131,28411675,30.339,59.918918,720630,Океанариум,0,4c123608b7b9c9284451a737,"{'tipCount': 262, 'usersCount': 16087, 'checkinsCount': 18425}",Arts & Entertainment
2889,улица Марата 86,742,,30.339,59.918918,5878968,Океанариум,0,4c123608b7b9c9284451a737,"{'tipCount': 262, 'usersCount': 16087, 'checkinsCount': 18425}",Arts & Entertainment
2912,"Санкт-Петербург, ул. Правды 12",73,,30.342674,59.923243,10497642,"Дом живых бабочек ""Миндо""",0,4fe6dd68e4b0116a386b20fb,"{'tipCount': 48, 'usersCount': 1398, 'checkinsCount': 1498}",Arts & Entertainment
2971,Фонтанки реки набережная 41,22,,30.339269,59.930705,12341356,Концертный Дом Кочневой,0,4f646278e4b04b24438556e1,"{'tipCount': 11, 'usersCount': 678, 'checkinsCount': 962}",Arts & Entertainment
2973,Фонтанки реки набережная 51,10,,30.337392,59.9297,18363988,"Александринский театр, Новая сцена",0,5188b904498e470e9355f967,"{'tipCount': 69, 'usersCount': 6590, 'checkinsCount': 17261}",Arts & Entertainment
2989,Рубенштейна 13,15,,30.343878,59.929434,6188715,Рубенштейна 13,0,5172664c498ece19a088b8b9,"{'tipCount': 2, 'usersCount': 175, 'checkinsCount': 262}",Arts & Entertainment
3053,"Набережная реки Фонтанки, 21",52,149060086,30.342997,59.934867,18439478,Музей Фаберже,0,528b1a9611d20cbd10276bb2,"{'tipCount': 200, 'usersCount': 10173, 'checkinsCount': 13219}",Arts & Entertainment
3087,"наб. P. Фонтанки, 3",142,,30.341335,59.938685,15138009,Большой Санкт-Петербургский цирк,0,4c091c94340720a1f5288493,"{'tipCount': 168, 'usersCount': 10030, 'checkinsCount': 14223}",Arts & Entertainment
3089,Фонтанки реки набережная 3,36,,30.341335,59.938685,14664063,Цирк Чинизелли - Большой Санкт-Петербургскиий Государственный Цирк,0,4c091c94340720a1f5288493,"{'tipCount': 168, 'usersCount': 10030, 'checkinsCount': 14223}",Arts & Entertainment
3118,"наб. реки Фонтанки, 24",90,28775299,30.34209,59.939915,759686,Галерея искусств KGallery,0,4c6c24f4d08695214ad603ea,"{'tipCount': 18, 'usersCount': 1243, 'checkinsCount': 1834}",Arts & Entertainment
3272,улица Коломенская 46,12,,30.349753,59.920668,10161946,Кабаре на коломенской,0,4da176067aee54818cb2c1fe,"{'tipCount': 28, 'usersCount': 968, 'checkinsCount': 2098}",Arts & Entertainment
3283,улица Разъезжая 21/19,24,,30.346986,59.924091,16498740,Интеллектуальный кластер Игры разума,0,55903ea3498e00f478a5fce4,"{'tipCount': 6, 'usersCount': 646, 'checkinsCount': 1116}",Arts & Entertainment
3326,улица Рубинштейна 13,43,,30.343878,59.929434,11069106,"Музыкальный Театр ""Зазеркалье""",0,4d8c84361d06b1f7e52d1a3b,"{'tipCount': 33, 'usersCount': 1692, 'checkinsCount': 5039}",Arts & Entertainment
3339,улица Рубинштейна 11,10,,30.344165,59.92993,18225563,"Санкт-Петербург, Рубинштейна 13",0,5172664c498ece19a088b8b9,"{'tipCount': 2, 'usersCount': 175, 'checkinsCount': 262}",Arts & Entertainment
3352,Владимирский проспект 13,10,,30.347291,59.929777,6605049,"Ревизор, театр Ленсовета",0,4cab3d1bd971b1f7572829e1,"{'tipCount': 231, 'usersCount': 12950, 'checkinsCount': 23337}",Arts & Entertainment
3375,Владимирский проспект 12,23,,30.348225,59.930056,14917145,"Театр имени Ленсовета,",0,4cab3d1bd971b1f7572829e1,"{'tipCount': 231, 'usersCount': 12950, 'checkinsCount': 23337}",Arts & Entertainment
3422,Невский проспект 78,51,,30.348594,59.932879,6548876,"Невский пр. , 78",0,503a3108e4b0ee7faf3dac2a,"{'tipCount': 0, 'usersCount': 15, 'checkinsCount': 15}",Arts & Entertainment
3443,Литейный проспект 58,32,,30.348468,59.934033,6602267,"Галерея ""Борей"", Литейный 58",0,4f5201fde4b06025e84eedae,"{'tipCount': 27, 'usersCount': 808, 'checkinsCount': 1393}",Arts & Entertainment
3446,Невский проспект 55,27,,30.35022,59.932031,8488031,Кафе счастье,0,576c302b498e68bc89a87b8e,"{'tipCount': 0, 'usersCount': 1, 'checkinsCount': 6}",Arts & Entertainment
3450,Невский проспект 84–86,20,,30.350498,59.932644,15269427,Дом Актера им.С.Станиславского,0,4f1332abe4b0456268f1dd03,"{'tipCount': 8, 'usersCount': 1220, 'checkinsCount': 2200}",Arts & Entertainment
3470,"Литейный проспект, 53",102,,30.347704,59.936332,15622630,"Фонтанный Дом, Музей Анны Ахматовой",0,4cd53f5967adf04d6de72b91,"{'tipCount': 93, 'usersCount': 5560, 'checkinsCount': 7449}",Arts & Entertainment
3474,"Белинского ул. 9, THE HAT BAR",278,41043967,30.346599,59.93809,2931342,THE HAT BAR | JAZZ JAM | ШЛЯПА,0,4f9bfe03e4b04dce44b25a6a,"{'tipCount': 379, 'usersCount': 13559, 'checkinsCount': 34891}",Arts & Entertainment
3480,улица Белинского 9,53,,30.346599,59.93809,9555968,The HAT,0,4f9bfe03e4b04dce44b25a6a,"{'tipCount': 379, 'usersCount': 13559, 'checkinsCount': 34891}",Arts & Entertainment
3491,улица Жуковского 5,12,,30.350848,59.935795,6958974,Часы не спешат,0,5243328f498ea77b1b07efe7,"{'tipCount': 29, 'usersCount': 604, 'checkinsCount': 1509}",Arts & Entertainment
3679,Лиговский 66,31,20098804,30.356086,59.922869,3232148,Pianobar Niko,0,59c414ab0531e84507a56d2e,"{'tipCount': 1, 'usersCount': 51, 'checkinsCount': 67}",Arts & Entertainment
3701,"улица Марата, 24-а",106,20970220,30.353813,59.927455,6317035,Музей Арктики и Антарктики,0,4db40e31fc607e0aa231bc63,"{'tipCount': 50, 'usersCount': 4991, 'checkinsCount': 6034}",Arts & Entertainment
3702,улица Марата 24а,64,,30.353813,59.927455,181008,Российский государственный музей Арктики и Антарктики,0,4db40e31fc607e0aa231bc63,"{'tipCount': 50, 'usersCount': 4991, 'checkinsCount': 6034}",Arts & Entertainment
3705,"ул. Марата 24 а,",22,64951552,30.353813,59.927455,7510274,МУЗЕЙ АРКТИКИ И АНТАРКТИКИ,0,4db40e31fc607e0aa231bc63,"{'tipCount': 50, 'usersCount': 4991, 'checkinsCount': 6034}",Arts & Entertainment
3731,улица Стремянная 8,15,,30.351343,59.931134,13552491,Музей- квартира Самойловых,0,4f993c7be4b05c38102cbb23,"{'tipCount': 14, 'usersCount': 298, 'checkinsCount': 433}",Arts & Entertainment
3823,улица Некрасова 10,12,,30.352277,59.939158,17554743,Большой Кукольный театр,0,4e6c7c4d52b14562865d7d3d,"{'tipCount': 88, 'usersCount': 3041, 'checkinsCount': 5788}",Arts & Entertainment
3959,просп. Лиговский 44Б,25,,30.359068,59.926445,5365138,Формула кино,0,4cfa509cee9cb60cd57289ad,"{'tipCount': 568, 'usersCount': 44475, 'checkinsCount': 131819}",Arts & Entertainment
3960,"улица Коломенская, 3",31,,30.354864,59.926287,9320928,"iLocked - Реальные квесты ""Выберись из комнаты""",0,53176ff411d29ba40629aeae,"{'tipCount': 29, 'usersCount': 1347, 'checkinsCount': 1688}",Arts & Entertainment
3977,Лиговский переулок 2,55,,30.358242,59.928731,17266273,Енотовиль,0,57cd8a85498e663d195f2cfc,"{'tipCount': 6, 'usersCount': 180, 'checkinsCount': 191}",Arts & Entertainment
3988,Лиговский просп. 53,29,,30.359338,59.929136,570,ГЭЗ-21,0,4bc363bcabf495212ab0c393,"{'tipCount': 31, 'usersCount': 1474, 'checkinsCount': 4585}",Arts & Entertainment
3993,Лиговский проспект 53,21,,30.359338,59.929136,11855816,"Арт-центр ""Пушкинская 10""",0,4c4c7127f7b49c747a699cc2,"{'tipCount': 42, 'usersCount': 4313, 'checkinsCount': 7304}",Arts & Entertainment
3998,Лиговский проспект 47,52,,30.359688,59.929736,9400957,Улица Джона Леннона,0,4dce66c1b0fb25f6e34212c4,"{'tipCount': 13, 'usersCount': 1559, 'checkinsCount': 2302}",Arts & Entertainment
4000,Лиговский проспект 45,28,,30.35993,59.930196,8758717,Музей эрос,0,56c09f42cd102af95f4794a2,"{'tipCount': 2, 'usersCount': 40, 'checkinsCount': 51}",Arts & Entertainment
4053,Невский проспект 100,12,,30.355619,59.932008,9917172,Коллизей,0,50955c71e4b0f17ed57ba62a,"{'tipCount': 43, 'usersCount': 4804, 'checkinsCount': 7406}",Arts & Entertainment
4080,улица Жуковского 28,38,,30.359472,59.936043,11474350,Anna Nova Art Gallery,0,4d495d6648a06dcb8c5a6ea2,"{'tipCount': 24, 'usersCount': 1086, 'checkinsCount': 3673}",Arts & Entertainment
4348,"Невский просп., 122",14,,30.364215,59.930818,10714211,Невский проспект 87,0,5727b62f498ec8bf78d869e8,"{'tipCount': 0, 'usersCount': 1, 'checkinsCount': 1}",Arts & Entertainment
4392,Лиговский пр. 21А,17,,30.363173,59.935187,6710939,"БКЗ ""Октябрьский"", концерт Зары",0,4bffe41492a6c928ab3d43e2,"{'tipCount': 191, 'usersCount': 25989, 'checkinsCount': 44052}",Arts & Entertainment
4509,улица 2-я Советская 23,16,,30.369354,59.931233,7539368,Salsa Social,0,50f8409ae4b03b3bfe58bac5,"{'tipCount': 3, 'usersCount': 163, 'checkinsCount': 1078}",Arts & Entertainment
5740,"29-я линия, дом 2, Эрарта",2688,19191317,30.251621,59.931896,3068445,Эрарта. Музей современного искусства,2,4c5b2c76b014ef3b45481c97,"{'tipCount': 526, 'usersCount': 33624, 'checkinsCount': 57098}",Arts & Entertainment
5743,"29 линия ВО, 2",485,,30.251621,59.931896,7212241,Эрарта,2,4c5b2c76b014ef3b45481c97,"{'tipCount': 526, 'usersCount': 33624, 'checkinsCount': 57098}",Arts & Entertainment
1295,пр. Ветеранов 101,146,,30.204836,59.834135,11322,Мираж Синема на Ветеранов,8,4be308a021d5a59356011811,"{'tipCount': 152, 'usersCount': 9502, 'checkinsCount': 31241}",Arts & Entertainment
2425,"СПб, Петровская набережная , 6",87,,30.330879,59.953263,8786576,Домик Петра I,13,4c3af17016cb2d7f32fe01a9,"{'tipCount': 36, 'usersCount': 2987, 'checkinsCount': 4050}",Arts & Entertainment
726,улица Большая Морская 44,15,,30.306786,59.931932,10085133,Дом композиторов,25,4d1a1fe281cea35dde38faec,"{'tipCount': 12, 'usersCount': 708, 'checkinsCount': 1321}",Arts & Entertainment
966,улица Большая Морская 33–35,56,,30.310999,59.933478,7079087,Союз Художников,25,4e26825f922e2f19a9d53915,"{'tipCount': 35, 'usersCount': 2472, 'checkinsCount': 3951}",Arts & Entertainment
969,"улица Малая Морская, 24, Санкт-Петербург, Россия, 190000",53,,30.309113,59.934064,5325987,Росфото,25,4c09fa5fffb8c9b6a9e76a61,"{'tipCount': 93, 'usersCount': 5419, 'checkinsCount': 10817}",Arts & Entertainment
970,"Большая Морская ул., д.38",52,,30.311323,59.933072,10862448,Выставочный зал Санкт-Петербургского Союза Художников,25,4e26825f922e2f19a9d53915,"{'tipCount': 35, 'usersCount': 2472, 'checkinsCount': 3951}",Arts & Entertainment
1049,Невский проспект 7,155,,30.31426,59.936607,8914744,Дом вверх дном - Невский проспект 5,25,53289c86498e9ff929978392,"{'tipCount': 29, 'usersCount': 2051, 'checkinsCount': 2168}",Arts & Entertainment
1051,Невский проспект 6,128,,30.314566,59.937012,10086058,Музей Дом великана,25,5420609d498e76f1b49a40e2,"{'tipCount': 98, 'usersCount': 5459, 'checkinsCount': 6225}",Arts & Entertainment
1054,Невский проспект 5,21,,30.313326,59.936719,15858495,Дом Вверх Дном,25,53289c86498e9ff929978392,"{'tipCount': 29, 'usersCount': 2051, 'checkinsCount': 2168}",Arts & Entertainment
1062,Dvortsovaya naberezhnaya 38,207,,30.313721,59.941173,8328160,The State Hermitage museum,25,4d9abff1422ea1cd52d9ec4c,"{'tipCount': 1034, 'usersCount': 75820, 'checkinsCount': 127633}",Arts & Entertainment
1065,Дворцовая набережная 38,873,,30.313721,59.941173,8300544,Государственный Эрмитаж,25,4d9abff1422ea1cd52d9ec4c,"{'tipCount': 1034, 'usersCount': 75820, 'checkinsCount': 127633}",Arts & Entertainment
