title,label,color,labeled_places_22_02_pid,labeled_places_22_02_place_id
Ул летчика пилютова 50,20,#66d743,7229933,7229933
"Парк ""Сосновая поляна""",20,#66d743,11659767,11659767
Рококо,20,#66d743,5913,5913
Ветеранов дом 149,20,#66d743,8102072,8102072
352 школа,20,#66d743,15959331,15959331
Sweet home?,20,#66d743,6558632,6558632
Летчика Пилютова.,20,#66d743,5483389,5483389
Общежитие СПБГТИ,20,#66d743,5496556,5496556
Петерговское шосе тц жемчуженая плаза,20,#66d743,6588413,6588413
Пионерстроя 15 3,20,#66d743,8532439,8532439
"Санкт-Петербург, ул. Пионерстроя",20,#66d743,11777445,11777445
Пилютова 5,20,#66d743,11663909,11663909
Университет МВД России,20,#66d743,6365321,6365321
Родильный дом 10,20,#66d743,8053302,8053302
СПбВИВВМВД России,20,#66d743,7495646,7495646
ул. Чекистов,20,#66d743,11866343,11866343
Готический домик,20,#66d743,4192,4192
Жемчужина?,20,#66d743,16652738,16652738
петергофское шоссе 55,20,#66d743,8186834,8186834
Балтийская жемчужина,20,#66d743,5680324,5680324
Квартал Жемчужная Премьера,20,#66d743,4363916,4363916
Школа 509,20,#66d743,14506280,14506280
"ЖК ""Море"" (ул. Адмирала Черокова, 20)",20,#66d743,12634284,12634284
Трк жемчужная плаза,20,#66d743,17274709,17274709
адмирала  черокова  18 корп2,20,#66d743,15367539,15367539
пляж балтийская жемчужина,14,#38c2ce,18195248,18195248
pearl beach,20,#66d743,18563541,18563541
ул.Адмирала Черокова(пляж),20,#66d743,14929417,14929417
ЖК «Юнтолово» Главстрой-СПб | Официальная группа,30,#855ae8,8681765,8681765
Пограничника гарькавого 51,20,#66d743,12678102,12678102
учебная база кавголово,20,#66d743,13980079,13980079
Санкт-Петербург улица Пограничника Гарькавого,20,#66d743,9363000,9363000
2я комсамольская д40 к1,20,#66d743,8710991,8710991
"Цветочная студия ""Фиалка""",20,#66d743,2688119,2688119
Проспект ветеранов 141,20,#66d743,15802892,15802892
ОГИБДД КРАСНОСЕЛЬСКОГО РАЙОНА,20,#66d743,12083270,12083270
"Кинотеатр ""ВОСХОД""",20,#66d743,13698615,13698615
@МАМУЛЬКАМ И ИХ КРАСОТУЛЬКАМ@,20,#66d743,2736372,2736372
Санкт питербург 2-ая консомольская,20,#66d743,11857389,11857389
Sankt petirburg,20,#66d743,10559610,10559610
Чайхана Пахвала,20,#66d743,11199075,11199075
Батутный Парк №1 | Санкт-Петербург,20,#66d743,11785888,11785888
Гриффиндор Балтийская Жемчужина,20,#66d743,13162984,13162984
"ЖК ""Море""",20,#66d743,10333287,10333287
Матисов канал,20,#66d743,8618854,8618854
Пляж в Лахте,59,#3ace9a,5980723,5980723
"Конный клуб ""Манеж""",30,#855ae8,13494285,13494285
Экспоцентр Гарден сити,30,#855ae8,10720191,10720191
Ольгино,30,#855ae8,5368272,5368272
База отдыха Александринского театра,30,#855ae8,10936282,10936282
Пляж Ольгино,30,#855ae8,8552961,8552961
ЖК ЮНТОЛОВО,5,#e6c51f,8243156,8243156
Прямо в сердце ??,30,#855ae8,18041805,18041805
Sasha's bar Петергофское шоссе д.51,20,#66d743,13616730,13616730
"""ДОБРЫЕ РУКИ""-  восстановление детей с ДЦП",20,#66d743,1360822,1360822
Тамбасова 31,20,#66d743,7928870,7928870
Школа 285,20,#66d743,6340766,6340766
дворец детского юношеского творчества филиал,20,#66d743,13969249,13969249
проспект ветеранов 152,20,#66d743,17018385,17018385
"Пхали-Хинкали , грузинский ресторан",20,#66d743,17082746,17082746
Лицей 395,20,#66d743,7259833,7259833
"пр. Ветеранов, 135",20,#66d743,9226731,9226731
Санкт Петербург Сосновая Поляна,20,#66d743,17833682,17833682
"Жилой комплекс ""Балтийская жемчужина""",20,#66d743,6483232,6483232
Жемчужная Плаза клуб Сусанин,58,#6990ca,14598665,14598665
Жемчужный Фрегат 1 - Балтийская Жемчужина,20,#66d743,3370376,3370376
PRO-SUSHI,20,#66d743,13386026,13386026
Жемчужный Фрегат 2 - Балтийская Жемчужина,20,#66d743,9891527,9891527
"лахта, ольгино",18,#eab589,8605163,8605163
«Гарден Сити Экспо» EsExpo,30,#855ae8,4733837,4733837
Aura,30,#855ae8,6059107,6059107
Имис 2014,30,#855ae8,8367147,8367147
Лахта-Ольгино,30,#855ae8,4150919,4150919
"М.Сенная, ТЦ Пик",20,#66d743,11276361,11276361
???  РодДом №10  ???,20,#66d743,2811618,2811618
"Место, где рождается чудо ...",20,#66d743,8633027,8633027
улица Тамбасова,20,#66d743,13407714,13407714
Роддом 10,20,#66d743,11774858,11774858
ЗАГС Красносельского района,20,#66d743,5485107,5485107
ТЭН анод термостат сальник подшипник манжета,20,#66d743,13737952,13737952
"тамбасова,8",20,#66d743,6933693,6933693
Детская площадке в парке на ул. Тамбасова,20,#66d743,12113437,12113437
BarBaris,20,#66d743,9958786,9958786
"Парк ""Новознаменка""",20,#66d743,9847590,9847590
"ЖК ""More"" 4 | ЖК МОРЕ 4 | Катерников 7",20,#66d743,7413422,7413422
547 школа Балтийская жемчужина,20,#66d743,15945639,15945639
"ЖК""Линкор""Катерников 5/1,2-Балтийская Жемчужина",20,#66d743,6330346,6330346
Проспект героев,14,#38c2ce,7524963,7524963
Финский залив ?,14,#38c2ce,12689020,12689020
Санкт Петербург Лахта Ольгино,40,#cb8e2b,12522640,12522640
День явления Шрилы Б.Р. Шридхара Махараджа,30,#855ae8,998831,998831
Лахтинский пр. 45,30,#855ae8,9879620,9879620
Lahta-tennis,40,#cb8e2b,7742337,7742337
Лесная улица 3,30,#855ae8,15768571,15768571
ул.Добровольцев,20,#66d743,7532554,7532554
Добровольцев 46,68,#12d1a5,1408713,1408713
Центр Физической Культуры Спорта и Здоровья Крас,68,#12d1a5,4795739,4795739
проспект Героев 26 к3,14,#38c2ce,10737100,10737100
"Финский залив, лахта",30,#855ae8,9084607,9084607
Лахтинские бани,30,#855ae8,15167257,15167257
Таллинское шоссе 159,68,#12d1a5,10168186,10168186
"Пулково, Аэропорт",68,#12d1a5,17521701,17521701
Таллинское шоссе,68,#12d1a5,5375083,5375083
Теннисный клуб ракета,68,#12d1a5,10730358,10730358
"Пр-т Ветеранов, 142",68,#12d1a5,8686112,8686112
Ресторан старый пловдив,68,#12d1a5,6065904,6065904
Улица добровольцев дом 10,68,#12d1a5,8280068,8280068
Форт Красная горка,68,#12d1a5,12076684,12076684
Добровольцев 2,68,#12d1a5,9359170,9359170
Южно-Приморский парк ?,20,#66d743,15842303,15842303
Театр В Парке,14,#38c2ce,9390578,9390578
Южно-Приморский  парк,14,#38c2ce,12837264,12837264
Санкт-петербург маршала-захарова 14 корпус 2,14,#38c2ce,8635467,8635467
Финский залив ?,14,#38c2ce,12689020,12689020
Турция Кемер,14,#38c2ce,15552667,15552667
у Финского,14,#38c2ce,14664018,14664018
пр героев 24 корпус 3,14,#38c2ce,12606950,12606950
"Финский залив, юго- запад",14,#38c2ce,14720144,14720144
"Ленинский пр.дом 51,53к1/Героев пр,24к2 НОВОСЁЛЫ",14,#38c2ce,4801091,4801091
"Финский Залив ,Юго-Запад!!!",58,#6990ca,11346708,11346708
Яхт клуб Геркулес,30,#855ae8,5768339,5768339
Причал Кронштадт,30,#855ae8,16033810,16033810
Партизана Германа 45,68,#12d1a5,7566698,7566698
"Пр-т Ветеранов 130, Санкт-Петербург",68,#12d1a5,15357862,15357862
Новый Рубеж,68,#12d1a5,11324,11324
добровольцев д 6 к 2,68,#12d1a5,12428748,12428748
Германа и чекистов,20,#66d743,10875858,10875858
Администрация Красносельского района,68,#12d1a5,11333451,11333451
Южно-Приморский парк ??,14,#38c2ce,15370778,15370778
Южно-Примоский парк,14,#38c2ce,5388315,5388315
Парк ленина,14,#38c2ce,6019243,6019243
"Ресторан ""Бахрома""",14,#38c2ce,13198866,13198866
Санкт-петербург доблести 24к1,14,#38c2ce,8614365,8614365
маршала Захарова 18 к1,14,#38c2ce,9841878,9841878
Ленинский проспект 55/1,14,#38c2ce,7550849,7550849
Ленинский  проспект 57.кор.1,14,#38c2ce,7833659,7833659
Лахта Центр,30,#855ae8,5002593,5002593
БКЗ  Октябрьский,5,#e6c51f,16888194,16888194
МО Лахта-Ольгино,30,#855ae8,12869998,12869998
озеро лахтинский разлив,30,#855ae8,12500087,12500087
старопаново красных зорь 21,68,#12d1a5,10189028,10189028
Тайцы гатчинский район,68,#12d1a5,17523736,17523736
ГБДОУ35,68,#12d1a5,5550725,5550725
Партизана германа 26,68,#12d1a5,8080572,8080572
Авангардная 20,68,#12d1a5,12763375,12763375
Проспект Ветеранов 115,68,#12d1a5,10810503,10810503
Санкт-петербург Невский пр.84,68,#12d1a5,6338656,6338656
Партизана германа 12,68,#12d1a5,7620290,7620290
"невский проспект ""музей эмоций""",68,#12d1a5,16995298,16995298
"Санкт-Петербург, Партизана германа 10",68,#12d1a5,18508689,18508689
Дом??,68,#12d1a5,18632214,18632214
Санкт-Петербург Партизана Германа 6,68,#12d1a5,8286252,8286252
"Авангардная улица, д 3",68,#12d1a5,13843861,13843861
Авангардная 9,68,#12d1a5,14460189,14460189
Leroy Merlin,68,#12d1a5,15689575,15689575
"Лицей искусств ""Санкт-Петербург"".",14,#38c2ce,9478217,9478217
Родной дом))),14,#38c2ce,5922878,5922878
"Санкт-Петербург, Петергофское шоссе 19",14,#38c2ce,12808639,12808639
рихарда зорге д 3,14,#38c2ce,7430793,7430793
Рихарда зорге 4,14,#38c2ce,16241728,16241728
Доблести 26,14,#38c2ce,5423069,5423069
